timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,rps_ok_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-13 12:56:37,1,1000,1000,30,1000,0,0.0000,33.33,33.33,60.4,64.2,202.4,3.2,2.5,2.6,60.6,0.00,0.17,0.82,22.78
2025-09-13 12:57:16,2,2000,1000,30,2000,0,0.0000,66.67,66.67,59.8,64.6,192.1,3.2,2.5,2.6,60.6,0.00,0.17,0.82,22.78
2025-09-13 12:57:55,3,3000,1000,30,3000,0,0.0000,100.00,100.00,60.8,67.0,233.1,3.2,2.5,2.6,60.6,0.00,0.17,0.82,22.78
2025-09-13 12:58:35,4,4000,1000,30,4000,0,0.0000,133.33,133.33,61.6,71.5,251.2,294.4,24.3,7.6,60.6,0.18,0.17,0.74,22.78
2025-09-13 12:59:17,5,5000,1000,30,5000,0,0.0000,166.67,166.67,61.9,72.5,321.3,294.4,24.3,7.6,60.6,0.18,0.17,0.74,22.78
2025-09-13 12:59:56,6,6000,1000,30,6000,0,0.0000,200.00,200.00,62.6,99.7,393.1,294.4,24.3,7.6,60.6,0.18,0.17,0.74,22.78
2025-09-13 13:00:37,7,7000,1000,30,7000,0,0.0000,233.33,233.33,65.2,321.1,970.0,668.1,104.4,18.0,60.8,0.37,0.30,0.72,22.78
2025-09-13 13:01:15,8,8000,1000,30,8000,0,0.0000,266.67,266.67,62.4,91.6,430.0,668.1,104.4,18.0,60.8,0.37,0.30,0.72,22.78
2025-09-13 13:03:05,9,9000,1000,30,8700,300,0.0333,300.00,290.00,65.1,82.1,30859.7,668.1,nan,29.5,59.6,1.32,0.76,0.84,22.78
2025-09-13 13:03:45,10,10000,1000,30,9775,225,0.0225,333.33,325.83,65.1,107.9,30080.7,1321.8,243.6,29.5,59.6,1.32,0.76,0.84,22.78
2025-09-13 13:04:29,11,11000,1000,30,10732,268,0.0244,366.67,357.73,66.0,123.1,30982.6,1573.9,296.9,16.7,60.2,0.62,0.68,0.80,22.78
2025-09-13 13:05:09,12,12000,1000,30,11707,293,0.0244,400.00,390.23,69.2,165.0,30302.1,1573.9,296.9,16.7,60.2,0.62,0.68,0.80,22.78
2025-09-13 13:05:49,13,13000,1000,30,12656,344,0.0265,433.33,421.87,70.9,170.5,27881.3,1573.9,296.9,16.7,60.2,0.62,0.68,0.80,22.78
2025-09-13 13:06:31,14,14000,1000,30,13549,451,0.0322,466.67,451.63,89.7,285.9,30371.7,2234.0,475.6,34.9,60.5,2.37,1.21,0.97,22.78
2025-09-13 13:07:11,15,15000,1000,30,14668,332,0.0221,500.00,488.93,96.4,229.3,30463.1,2234.0,475.6,34.9,60.5,2.37,1.21,0.97,22.78
2025-09-13 13:08:39,16,16000,1000,30,15122,878,0.0549,533.33,504.07,84.7,469.9,30307.8,2234.0,612.3,42.3,60.2,3.87,1.91,1.24,22.78
2025-09-13 13:09:34,17,17000,1000,30,16217,783,0.0461,566.67,540.57,5021.2,6489.9,30765.6,2899.2,612.3,42.3,60.2,3.87,1.91,1.24,22.78
2025-09-13 13:10:29,18,18000,1000,30,17343,657,0.0365,600.00,578.10,120.8,574.6,30612.6,2992.9,629.9,29.0,60.8,5.29,2.66,1.57,22.78
2025-09-13 13:11:36,19,19000,1000,30,17652,1348,0.0709,633.33,588.40,419.1,7249.5,30687.6,2992.9,629.9,29.0,60.8,5.29,2.66,1.57,22.78
2025-09-13 13:12:18,20,20000,1000,30,19397,603,0.0301,666.67,646.57,275.5,654.5,30111.2,3802.4,792.7,34.0,60.8,4.42,3.40,1.98,22.78
2025-09-13 15:00:35,1,1000,1000,30,1000,0,0.0000,33.33,33.33,61.1,71.1,166.1,2.2,1.7,1.6,59.1,0.00,0.04,0.02,22.82
2025-09-13 15:01:14,2,2000,1000,30,2000,0,0.0000,66.67,66.67,60.2,65.3,208.7,2.2,1.7,1.6,59.1,0.00,0.04,0.02,22.82
2025-09-13 15:01:54,3,3000,1000,30,3000,0,0.0000,100.00,100.00,60.6,64.8,219.0,2.2,1.7,1.6,59.1,0.00,0.04,0.02,22.82
2025-09-13 15:02:33,4,4000,1000,30,4000,0,0.0000,133.33,133.33,60.9,66.2,267.7,346.4,34.6,9.3,60.1,0.40,0.18,0.08,22.82
2025-09-13 15:03:12,5,5000,1000,30,5000,0,0.0000,166.67,166.67,61.4,70.9,340.3,346.4,34.6,9.3,60.1,0.40,0.18,0.08,22.82
2025-09-13 15:03:52,6,6000,1000,30,6000,0,0.0000,200.00,200.00,62.1,76.6,377.8,346.4,34.6,9.3,60.1,0.40,0.18,0.08,22.82
2025-09-13 15:04:32,7,7000,1000,30,7000,0,0.0000,233.33,233.33,63.3,87.0,443.0,780.3,127.6,18.0,60.3,0.06,0.13,0.07,22.82
2025-09-13 15:05:11,8,8000,1000,30,8000,0,0.0000,266.67,266.67,63.3,91.7,467.5,780.3,127.6,18.0,60.3,0.06,0.13,0.07,22.82
2025-09-13 15:06:20,9,9000,1000,30,8949,51,0.0057,300.00,298.30,63.9,96.4,595.8,780.3,127.6,28.9,60.3,1.44,0.68,0.28,22.82
2025-09-13 15:07:04,10,10000,1000,30,9581,419,0.0419,333.33,319.37,67.8,118.1,30527.6,1325.3,244.2,28.9,60.8,1.44,0.68,0.28,22.82
2025-09-13 15:08:00,11,11000,1000,30,10816,184,0.0167,366.67,360.53,69.4,109.7,30948.2,1325.3,244.2,28.9,60.8,1.44,0.68,0.28,22.82
2025-09-13 15:08:55,12,12000,1000,30,10436,1564,0.1303,400.00,347.87,5164.0,15107.3,29738.7,1766.5,325.1,24.4,59.5,1.49,0.88,0.39,22.82
2025-09-13 15:09:39,13,13000,1000,30,12594,406,0.0312,433.33,419.80,97.3,333.4,23008.2,1766.5,325.1,24.4,59.5,1.49,0.88,0.39,22.82
2025-09-13 15:10:20,14,14000,1000,30,13378,622,0.0444,466.67,445.93,86.5,400.3,30929.2,2125.3,452.3,28.9,60.9,2.58,1.45,0.65,22.82
2025-09-13 15:11:01,15,15000,1000,30,14613,387,0.0258,500.00,487.10,89.6,235.5,30955.4,2125.3,452.3,28.9,60.9,2.58,1.45,0.65,22.82
2025-09-13 15:12:09,16,16000,1000,30,15465,535,0.0334,533.33,515.50,116.2,363.2,30407.7,2125.3,452.3,40.2,60.9,2.87,1.90,0.91,22.82
2025-09-13 15:13:03,17,17000,1000,30,16288,712,0.0419,566.67,542.93,101.8,1947.0,30447.1,2737.1,573.0,40.2,60.0,2.87,1.90,0.91,22.82
2025-09-13 15:13:56,18,18000,1000,30,17102,898,0.0499,600.00,570.07,125.0,3163.6,30673.6,2737.1,573.0,40.2,60.0,2.87,1.90,0.91,22.82
2025-09-13 15:15:07,19,19000,1000,30,18194,806,0.0424,633.33,606.47,171.4,491.8,24023.4,3452.9,718.4,30.3,60.4,4.14,2.38,1.19,22.82
2025-09-13 15:16:04,20,20000,1000,30,18667,1333,0.0667,666.67,622.23,11068.9,12620.0,30824.2,3452.9,718.4,25.7,60.4,4.14,2.38,1.37,22.82
